movie1,movie2,weight
"abyss, the (1989)",alice in wonderland (1951),4
"abyss, the (1989)",alien (1979),24
"abyss, the (1989)",apocalypse now (1979),10
"abyss, the (1989)",austin powers: international man of mystery (1997),12
"abyss, the (1989)",back to the future (1985),18
"abyss, the (1989)",basic instinct (1992),5
"abyss, the (1989)",batman (1989),19
"abyss, the (1989)",batman returns (1992),5
"abyss, the (1989)",bedknobs and broomsticks (1971),3
"abyss, the (1989)",billy madison (1995),4
"abyss, the (1989)","blues brothers, the (1980)",8
"abyss, the (1989)",bottle rocket (1996),2
"abyss, the (1989)",braveheart (1995),17
"abyss, the (1989)",citizen kane (1941),7
"abyss, the (1989)",clear and present danger (1994),4
"abyss, the (1989)",clerks (1994),11
"abyss, the (1989)","clockwork orange, a (1971)",12
"abyss, the (1989)",con air (1997),3
"abyss, the (1989)",dances with wolves (1990),7
"abyss, the (1989)",dazed and confused (1993),6
"abyss, the (1989)",desperado (1995),8
"abyss, the (1989)",dumb & dumber (dumb and dumber) (1994),9
"abyss, the (1989)",dumbo (1941),2
"abyss, the (1989)",e.t. the extra-terrestrial (1982),19
"abyss, the (1989)",ed wood (1994),3
"abyss, the (1989)",escape to witch mountain (1975),2
"abyss, the (1989)",fantasia (1940),6
"abyss, the (1989)",fargo (1996),16
"abyss, the (1989)",forrest gump (1994),21
"abyss, the (1989)",from dusk till dawn (1996),7
"abyss, the (1989)","fugitive, the (1993)",14
"abyss, the (1989)",full metal jacket (1987),15
"abyss, the (1989)","ghost and the darkness, the (1996)",3
"abyss, the (1989)",goodfellas (1990),14
"abyss, the (1989)",grosse pointe blank (1997),4
"abyss, the (1989)",groundhog day (1993),12
"abyss, the (1989)",heat (1995),12
"abyss, the (1989)",henry v (1989),3
"abyss, the (1989)",highlander (1986),7
"abyss, the (1989)",independence day (a.k.a. id4) (1996),20
"abyss, the (1989)",indiana jones and the last crusade (1989),17
"abyss, the (1989)",james and the giant peach (1996),4
"abyss, the (1989)",jurassic park (1993),23
"abyss, the (1989)","last of the mohicans, the (1992)",3
"abyss, the (1989)","mask, the (1994)",13
"abyss, the (1989)",mission: impossible (1996),12
"abyss, the (1989)",monty python and the holy grail (1975),15
"abyss, the (1989)",monty python's life of brian (1979),11
"abyss, the (1989)",mr. smith goes to washington (1939),2
"abyss, the (1989)",mrs. doubtfire (1993),5
"abyss, the (1989)","nosferatu (nosferatu, eine symphonie des grauens) (1922)",2
"abyss, the (1989)",pete's dragon (1977),2
"abyss, the (1989)",pink floyd: the wall (1982),4
"abyss, the (1989)",pinocchio (1940),5
"abyss, the (1989)",platoon (1986),10
"abyss, the (1989)","princess bride, the (1987)",22
"abyss, the (1989)",psycho (1960),7
"abyss, the (1989)",pulp fiction (1994),17
"abyss, the (1989)",raiders of the lost ark (indiana jones and the raiders of the lost ark) (1981),23
"abyss, the (1989)",reservoir dogs (1992),17
"abyss, the (1989)",rob roy (1995),2
"abyss, the (1989)","rock, the (1996)",10
"abyss, the (1989)",schindler's list (1993),8
"abyss, the (1989)",seven (a.k.a. se7en) (1995),15
"abyss, the (1989)","shining, the (1980)",10
"abyss, the (1989)","silence of the lambs, the (1991)",16
"abyss, the (1989)",sneakers (1992),6
"abyss, the (1989)",so i married an axe murderer (1993),3
"abyss, the (1989)",space jam (1996),4
"abyss, the (1989)",star wars: episode iv - a new hope (1977),27
"abyss, the (1989)",star wars: episode v - the empire strikes back (1980),28
"abyss, the (1989)",star wars: episode vi - return of the jedi (1983),28
"abyss, the (1989)",stargate (1994),15
"abyss, the (1989)",swingers (1996),4
"abyss, the (1989)","sword in the stone, the (1963)",3
"abyss, the (1989)","terminator, the (1984)",21
"abyss, the (1989)",that thing you do! (1996),2
"abyss, the (1989)","three musketeers, the (1993)",2
"abyss, the (1989)",tommy boy (1995),3
"abyss, the (1989)",toy story (1995),16
"abyss, the (1989)",twister (1996),7
"abyss, the (1989)","usual suspects, the (1995)",12
"abyss, the (1989)",willy wonka & the chocolate factory (1971),9
"abyss, the (1989)",winnie the pooh and the blustery day (1968),2
"abyss, the (1989)","wizard of oz, the (1939)",13
"abyss, the (1989)",young frankenstein (1974),7
"adventures of robin hood, the (1938)",alice in wonderland (1951),2
