movie,pagerank
forrest gump (1994),0.009126742245314994
"shawshank redemption, the (1994)",0.00831028806622447
pulp fiction (1994),0.008178985367125384
star wars: episode iv - a new hope (1977),0.007069808593796352
"silence of the lambs, the (1991)",0.006830472865272057
jurassic park (1993),0.005901200656812148
toy story (1995),0.00576599173864358
braveheart (1995),0.005740288413000851
"matrix, the (1999)",0.005446309700227049
"usual suspects, the (1995)",0.005373658678290251
schindler's list (1993),0.005299237164225046
seven (a.k.a. se7en) (1995),0.005197586819616624
terminator 2: judgment day (1991),0.005074124204565251
"godfather, the (1972)",0.00497305149357641
star wars: episode v - the empire strikes back (1980),0.004838373886288499
apollo 13 (1995),0.004696956149258662
fargo (1996),0.004455787886488105
raiders of the lost ark (indiana jones and the raiders of the lost ark) (1981),0.00444911044767936
"lion king, the (1994)",0.0043925594155478885
independence day (a.k.a. id4) (1996),0.0043917794636248375
twelve monkeys (a.k.a. 12 monkeys) (1995),0.004382816541598284
"fugitive, the (1993)",0.004261717902803851
fight club (1999),0.004165909028618221
aladdin (1992),0.004050387170603868
speed (1994),0.004046612440883791
star wars: episode vi - return of the jedi (1983),0.0040380490345380575
true lies (1994),0.003953427895832431
"mask, the (1994)",0.00372777740038475
batman (1989),0.0036016178122931916
ace ventura: pet detective (1994),0.003553772938273789
back to the future (1985),0.003532205188662478
léon: the professional (a.k.a. the professional) (léon) (1994),0.003531714805435465
mrs. doubtfire (1993),0.0034388317907170524
blade runner (1982),0.0033673700749130273
mission: impossible (1996),0.003360206327265506
american beauty (1999),0.0033249233430401566
babe (1995),0.0032310366122475366
die hard: with a vengeance (1995),0.0032256846051502376
"lord of the rings: the fellowship of the ring, the (2001)",0.003188571917611865
alien (1979),0.0031449735647610614
saving private ryan (1998),0.003132848285827184
goldeneye (1995),0.003052717850139911
"princess bride, the (1987)",0.0030435400061308293
dances with wolves (1990),0.003027175843820146
beauty and the beast (1991),0.0030141641559693496
men in black (a.k.a. mib) (1997),0.0029997460546601143
stargate (1994),0.0029976173566423313
one flew over the cuckoo's nest (1975),0.0029928075728372925
batman forever (1995),0.0029543629820684486
"lord of the rings: the two towers, the (2002)",0.0029537287276084397
dumb & dumber (dumb and dumber) (1994),0.002952698464233895
pretty woman (1990),0.00293943634486235
die hard (1988),0.0029101569165813205
reservoir dogs (1992),0.002881772007704648
monty python and the holy grail (1975),0.0028638737195851283
jumanji (1995),0.0028203528002840295
"lord of the rings: the return of the king, the (2003)",0.002813947713172594
taxi driver (1976),0.0028037310534528835
clerks (1994),0.002802301127495888
groundhog day (1993),0.0027343137025460907
"clockwork orange, a (1971)",0.002713055186086223
"sixth sense, the (1999)",0.0026435481369823464
shrek (2001),0.0026264459804896736
memento (2000),0.0026109456722611343
titanic (1997),0.0025886627803897114
goodfellas (1990),0.00258295610788793
heat (1995),0.002562437458397111
four weddings and a funeral (1994),0.0025287261332925972
aliens (1986),0.002521060849958398
"godfather: part ii, the (1974)",0.002515166767421404
clueless (1995),0.002497312431758581
dr. strangelove or: how i learned to stop worrying and love the bomb (1964),0.0024914891245395
home alone (1990),0.002490141378911358
waterworld (1995),0.002477142877031998
happy gilmore (1996),0.0024697718434405903
casablanca (1942),0.002443944385915688
good will hunting (1997),0.002435289488170191
"net, the (1995)",0.002433559719698001
2001: a space odyssey (1968),0.0023507772351164477
gladiator (2000),0.0023478619496975772
trainspotting (1996),0.0023421648069718265
e.t. the extra-terrestrial (1982),0.0023358664496633697
indiana jones and the last crusade (1989),0.002329026527232472
twister (1996),0.00231724425740442
"terminator, the (1984)",0.0023166410601045124
"rock, the (1996)",0.002299626556335559
ghost (1990),0.0022709559081698044
interview with the vampire: the vampire chronicles (1994),0.0022707204464659765
ace ventura: when nature calls (1995),0.0022551793564083867
star trek: generations (1994),0.0022402440324206015
apocalypse now (1979),0.002187486819953833
american history x (1998),0.0021833806903115817
sleepless in seattle (1993),0.0021662029777092698
clear and present danger (1994),0.002149973547409253
get shorty (1995),0.0021264521506484803
while you were sleeping (1995),0.0021145441161632833
crimson tide (1995),0.002097207359212135
"shining, the (1980)",0.0020711613257717227
casino (1995),0.002064592009624991
"nightmare before christmas, the (1993)",0.002061409110021555
"truman show, the (1998)",0.002054824886089581
willy wonka & the chocolate factory (1971),0.00202525291289569
outbreak (1995),0.001985885436005089
demolition man (1993),0.0019668219329443595
"wizard of oz, the (1939)",0.0019651182377629665
"firm, the (1993)",0.0019606872647362616
finding nemo (2003),0.0019589770383234917
cliffhanger (1993),0.0019528636516127785
natural born killers (1994),0.0019520252705214573
full metal jacket (1987),0.001950925342476814
"fifth element, the (1997)",0.0019469030009653654
rear window (1954),0.0019428228063309838
"birdcage, the (1996)",0.0019143410170688144
pirates of the caribbean: the curse of the black pearl (2003),0.001891333674058216
broken arrow (1996),0.0018445207263164066
"santa clause, the (1994)",0.0018279287810605992
eternal sunshine of the spotless mind (2004),0.0018133700222858747
monty python's life of brian (1979),0.0018111968918855606
mr. holland's opus (1995),0.0017839231479574403
addams family values (1993),0.001775453637837722
what's eating gilbert grape (1993),0.0017633567625502864
leaving las vegas (1995),0.0017460819789742409
ed wood (1994),0.0017446825900371277
"amelie (fabuleux destin d'amélie poulain, le) (2001)",0.0017430064762744898
maverick (1994),0.0017410538998294614
"dark knight, the (2008)",0.0017233228209108061
"american president, the (1995)",0.0017221797193123663
dave (1993),0.0017078240774374722
"beautiful mind, a (2001)",0.0016943466262332601
quiz show (1994),0.0016640230996904743
"breakfast club, the (1985)",0.001640867376268655
pocahontas (1995),0.0016227521415182217
"big lebowski, the (1998)",0.0016198990174712794
inception (2010),0.0016027008772484144
"monsters, inc. (2001)",0.001578782239719615
kill bill: vol. 1 (2003),0.0015635462192137247
casper (1995),0.0015617263872845565
"crow, the (1994)",0.0015589450127044852
desperado (1995),0.0015422416680999204
"bourne identity, the (2002)",0.0015336071619879866
sense and sensibility (1995),0.001528254843860391
dead man walking (1995),0.0015226282214289486
psycho (1960),0.0015179177837717926
robin hood: men in tights (1993),0.0015152948897912322
snow white and the seven dwarfs (1937),0.0014977906096422006
judge dredd (1995),0.0014880395093032487
there's something about mary (1998),0.0014856234607910446
from dusk till dawn (1996),0.0014808897911985854
l.a. confidential (1997),0.0014614667938559129
ocean's eleven (2001),0.00145439168214614
stand by me (1986),0.0014540018902231844
donnie darko (2001),0.0014359539944684137
"green mile, the (1999)",0.0014237613057799404
"graduate, the (1967)",0.0014193460220991514
in the line of fire (1993),0.0014166744136697624
citizen kane (1941),0.0014136702198843578
"incredibles, the (2004)",0.0013926246251251668
dead poets society (1989),0.0013924867597075112
austin powers: the spy who shagged me (1999),0.0013861455689897426
life is beautiful (la vita è bella) (1997),0.0013815801353194925
austin powers: international man of mystery (1997),0.0013785185967284954
philadelphia (1993),0.0013551734052976805
"nutty professor, the (1996)",0.0013507352526281344
coneheads (1993),0.001347328497904556
when harry met sally... (1989),0.0013437161909725598
requiem for a dream (2000),0.0013313301231540908
as good as it gets (1997),0.0013305731276851817
hot shots! part deux (1993),0.0013290706907761417
"blues brothers, the (1980)",0.0013206507436027946
naked gun 33 1/3: the final insult (1994),0.0013184458457241308
mary poppins (1964),0.00131286256270688
catch me if you can (2002),0.0013079115642220176
legends of the fall (1994),0.001304081710991896
true romance (1993),0.0012956625251839722
"hunt for red october, the (1990)",0.001288043664809355
rain man (1988),0.0012836671329043317
johnny mnemonic (1995),0.001272295331156225
top gun (1986),0.0012701775028404368
jaws (1975),0.0012695158036664122
"fish called wanda, a (1988)",0.0012623971459427247
congo (1995),0.001256356927989748
billy madison (1995),0.0012512474619241591
bad boys (1995),0.0012444302224607893
vertigo (1958),0.0012384912797491865
amadeus (1984),0.0012353546965445097
"piano, the (1993)",0.0012353223994089025
minority report (2002),0.001229861541044015
star wars: episode i - the phantom menace (1999),0.0012271855355130167
first knight (1995),0.0012138838138013744
beverly hills cop iii (1994),0.0012128847048700625
12 angry men (1957),0.0012039200161242818
grumpier old men (1995),0.0012011427863351809
armageddon (1998),0.001196174507487811
american pie (1999),0.0011952124099413439
x-men (2000),0.0011825384431347317
"client, the (1994)",0.0011767778136917678
last action hero (1993),0.001162850505985986
ghostbusters (a.k.a. ghost busters) (1984),0.0011497323858205464
sabrina (1995),0.0011471530688320697
tombstone (1993),0.0011437588929653353
city slickers ii: the legend of curly's gold (1994),0.0011408924865688023
jerry maguire (1996),0.00113729641083663
dragonheart (1996),0.0011351914083109775
"three musketeers, the (1993)",0.0011296291718817654
north by northwest (1959),0.0011160570164085884
species (1995),0.0011106053149702228
"sound of music, the (1965)",0.0011060796829122411
"game, the (1997)",0.0011057827433223755
batman begins (2005),0.0011049318332290543
