movie_title,similar_movie_title,similarity_score,rank
Avatar,Alien: Resurrection,0.47520580887794495,1
Avatar,Aliens,0.45327019691467285,2
Avatar,The Black Hole,0.44385024905204773,3
Avatar,Serenity,0.4262315630912781,4
Avatar,Sphere,0.42061176896095276,5
Avatar,Supernova,0.4051777124404907,6
Avatar,Space Battleship Yamato,0.3970597982406616,7
Avatar,Journey to Saturn,0.39444682002067566,8
Avatar,After Earth,0.392934113740921,9
Avatar,"Ultramarines: A Warhammer 40,000 Movie",0.38414379954338074,10
Pirates of the Caribbean: At World's End,Six Days Seven Nights,0.4577684700489044,1
Pirates of the Caribbean: At World's End,The Blue Lagoon,0.4537374675273895,2
Pirates of the Caribbean: At World's End,The Pirates! In an Adventure with Scientists!,0.44154566526412964,3
Pirates of the Caribbean: At World's End,The Master,0.4372020363807678,4
Pirates of the Caribbean: At World's End,Penguins of Madagascar,0.421962171792984,5
Pirates of the Caribbean: At World's End,Rambo: First Blood Part II,0.42098763585090637,6
Pirates of the Caribbean: At World's End,Last Orders,0.4175611734390259,7
Pirates of the Caribbean: At World's End,The Martian,0.41386231780052185,8
Pirates of the Caribbean: At World's End,John Carter,0.4124290347099304,9
Pirates of the Caribbean: At World's End,Wristcutters: A Love Story,0.40364179015159607,10
Spectre,Octopussy,0.6196605563163757,1
Spectre,Skyfall,0.590211808681488,2
Spectre,The Living Daylights,0.5851714611053467,3
Spectre,Never Say Never Again,0.584135115146637,4
Spectre,From Russia with Love,0.5243580341339111,5
Spectre,The Man with the Golden Gun,0.5239269137382507,6
Spectre,GoldenEye,0.5207981467247009,7
Spectre,Jason Bourne,0.5177683234214783,8
Spectre,For Your Eyes Only,0.5176420211791992,9
Spectre,The World Is Not Enough,0.5143568515777588,10
The Dark Knight Rises,The Dark Knight,0.7212328314781189,1
The Dark Knight Rises,Batman Forever,0.6571593880653381,2
The Dark Knight Rises,Batman,0.5982056856155396,3
The Dark Knight Rises,Batman Returns,0.5828824043273926,4
The Dark Knight Rises,Batman Begins,0.5727607011795044,5
The Dark Knight Rises,All Superheroes Must Die,0.501737117767334,6
The Dark Knight Rises,Brick Mansions,0.49429962038993835,7
The Dark Knight Rises,Batman v Superman: Dawn of Justice,0.47818613052368164,8
The Dark Knight Rises,Batman & Robin,0.4629715383052826,9
The Dark Knight Rises,"Batman: The Dark Knight Returns, Part 2",0.4588033854961395,10
John Carter,Rush Hour 2,0.5371756553649902,1
John Carter,Treasure Planet,0.4742084741592407,2
John Carter,Die Hard 2,0.4624359607696533,3
John Carter,Soldier,0.4579172432422638,4
John Carter,After Earth,0.4508996903896332,5
John Carter,Six-String Samurai,0.4498847424983978,6
John Carter,Ong Bak 2,0.448609858751297,7
John Carter,American Ninja 2: The Confrontation,0.4473521113395691,8
John Carter,Battleship,0.4457492530345917,9
John Carter,Space Pirate Captain Harlock,0.4270801544189453,10
Spider-Man 3,Spider-Man 2,0.6019503474235535,1
Spider-Man 3,The Amazing Spider-Man 2,0.5994118452072144,2
Spider-Man 3,The Amazing Spider-Man,0.561382532119751,3
Spider-Man 3,Spider-Man,0.5148815512657166,4
Spider-Man 3,Fantastic 4: Rise of the Silver Surfer,0.5127096176147461,5
Spider-Man 3,Megamind,0.47702905535697937,6
Spider-Man 3,Arachnophobia,0.47229430079460144,7
Spider-Man 3,Austin Powers: The Spy Who Shagged Me,0.46389105916023254,8
Spider-Man 3,Super,0.4477982521057129,9
Spider-Man 3,I Married a Strange Person!,0.4448670446872711,10
Tangled,Rush Hour 2,0.4998283386230469,1
Tangled,See Spot Run,0.4871901273727417,2
Tangled,TRON: Legacy,0.4864324629306793,3
Tangled,Royal Kill,0.4855777323246002,4
Tangled,Pan,0.48529183864593506,5
Tangled,The Cottage,0.4837784469127655,6
Tangled,The Long Riders,0.4791494905948639,7
Tangled,The Timber,0.46983614563941956,8
Tangled,Where the Wild Things Are,0.4664176404476166,9
Tangled,Time Bandits,0.4640035033226013,10
Avengers: Age of Ultron,Captain America: Civil War,0.6480288505554199,1
Avengers: Age of Ultron,Iron Man 3,0.6158939003944397,2
Avengers: Age of Ultron,The Avengers,0.5797141194343567,3
Avengers: Age of Ultron,Captain America: The Winter Soldier,0.5133911967277527,4
Avengers: Age of Ultron,Iron Man 2,0.5121580958366394,5
Avengers: Age of Ultron,Iron Man,0.4924003779888153,6
Avengers: Age of Ultron,Thor,0.46200287342071533,7
Avengers: Age of Ultron,Thor: The Dark World,0.4405899941921234,8
Avengers: Age of Ultron,The Incredible Hulk,0.4325401782989502,9
Avengers: Age of Ultron,Megamind,0.42711785435676575,10
Harry Potter and the Half-Blood Prince,Harry Potter and the Goblet of Fire,0.5576877593994141,1
Harry Potter and the Half-Blood Prince,Harry Potter and the Order of the Phoenix,0.49330711364746094,2
Harry Potter and the Half-Blood Prince,Harry Potter and the Philosopher's Stone,0.4775450527667999,3
Harry Potter and the Half-Blood Prince,Harry Potter and the Chamber of Secrets,0.4090818762779236,4
Harry Potter and the Half-Blood Prince,Just Visiting,0.39146721363067627,5
Harry Potter and the Half-Blood Prince,The Little Prince,0.36449572443962097,6
Harry Potter and the Half-Blood Prince,Time Bandits,0.35944581031799316,7
Harry Potter and the Half-Blood Prince,Dude Where's My Dog?,0.3523320257663727,8
Harry Potter and the Half-Blood Prince,Miss Potter,0.35227513313293457,9
Harry Potter and the Half-Blood Prince,The Call of Cthulhu,0.3513581454753876,10
Batman v Superman: Dawn of Justice,Batman Begins,0.6207982301712036,1
Batman v Superman: Dawn of Justice,"Batman: The Dark Knight Returns, Part 2",0.612054705619812,2
Batman v Superman: Dawn of Justice,Batman,0.604765772819519,3
Batman v Superman: Dawn of Justice,The Dark Knight,0.5941444635391235,4
Batman v Superman: Dawn of Justice,Batman & Robin,0.5780128240585327,5
Batman v Superman: Dawn of Justice,Teenage Mutant Ninja Turtles,0.5339395403862,6
Batman v Superman: Dawn of Justice,Megamind,0.5241813063621521,7
Batman v Superman: Dawn of Justice,The Spirit,0.5006517171859741,8
Batman v Superman: Dawn of Justice,The Dark Knight Rises,0.47818613052368164,9
